,ma2,ma3,ma4,ma5,ma6,ma12,ma24,lag4,lag5,lag6,lag7,lag8,lag12,lag24,daylength,quarter_q1,quarter_q3,season_summer,varb150,varb151,pred,real
17983,25.640398550724626,29.640398550724626,25.640398550724626,31.640398550724626,36.140398550724626,50.890398550724626,29.265398550724615,13.640398550724626,55.640398550724626,58.640398550724626,49.640398550724626,37.640398550724626,118.64039855072463,-61.359601449275374,11.626206502942901,1,0,0,0,0,19.921748425944113,-19.359601449275374
12480,-79.35960144927537,-85.35960144927537,-89.85960144927537,-94.35960144927537,-96.35960144927537,-98.10960144927537,-100.98460144927537,-103.35960144927537,-112.35960144927537,-106.35960144927537,-112.35960144927537,-100.35960144927537,-94.35960144927537,-100.35960144927537,14.261833534378336,0,0,0,0,0,-59.349887844501346,-112.35960144927537
23497,-31.359601449275374,-29.359601449275374,-32.109601449275374,-33.75960144927537,-32.859601449275374,5.390398550724626,16.390398550724615,-40.359601449275374,-40.359601449275374,-28.359601449275374,-4.359601449275374,7.640398550724626,79.64039855072463,19.640398550724626,9.315281037948402,1,0,0,0,0,-23.417930922067818,25.640398550724626
5771,-11.859601449275374,-3.359601449275374,0.8903985507246261,2.8403985507246263,15.140398550724626,37.640398550724626,-0.8596014492753739,13.640398550724626,10.640398550724626,76.64039855072463,49.640398550724626,61.640398550724626,55.640398550724626,-37.359601449275374,14.123953970932009,0,0,0,0,0,-3.3513006717688847,55.640398550724626
8889,4.640398550724626,1.6403985507246261,-2.109601449275374,-10.959601449275373,-12.359601449275374,4.140398550724626,18.890398550724615,-13.359601449275374,-46.359601449275374,-19.359601449275374,55.640398550724626,-34.359601449275374,139.64039855072463,46.640398550724626,10.117940106813766,0,0,0,0,0,11.264734630385437,-10.359601449275374
19918,157.64039855072463,147.64039855072463,136.64039855072463,125.84039855072463,115.14039855072463,69.64039855072463,66.51539855072461,103.64039855072463,82.64039855072463,61.640398550724626,55.640398550724626,34.640398550724626,4.640398550724626,1.6403985507246261,14.895495135167021,0,1,1,0,0,119.87266624274343,61.640398550724626
16758,-85.35960144927537,-81.35960144927537,-75.60960144927537,-72.15960144927537,-72.85960144927537,-74.85960144927537,-73.35960144927539,-58.359601449275374,-58.359601449275374,-76.35960144927537,-70.35960144927537,-64.35960144927537,-94.35960144927537,-85.35960144927537,9.213754404808624,1,0,0,0,0,-75.97644190286333,-46.359601449275374
10213,-88.35960144927537,-84.35960144927537,-89.10960144927537,-87.75960144927538,-85.85960144927537,-68.10960144927537,-70.35960144927539,-103.35960144927537,-82.35960144927537,-76.35960144927537,-82.35960144927537,-46.359601449275374,-55.359601449275374,-94.35960144927537,9.272048046736014,1,0,0,0,0,-76.15882316169949,-103.35960144927537
1400,-79.35960144927537,-89.35960144927537,-85.35960144927537,-85.95960144927537,-89.35960144927537,-88.60960144927537,-88.10960144927537,-73.35960144927537,-88.35960144927537,-106.35960144927537,-79.35960144927537,-88.35960144927537,-94.35960144927537,-85.35960144927537,12.397067483095116,0,1,0,0,0,-60.41980453415309,-94.35960144927537
19434,165.14039855072463,135.64039855072463,97.64039855072463,83.84039855072463,80.64039855072463,75.14039855072463,33.64039855072462,-16.359601449275374,28.640398550724626,64.64039855072463,55.640398550724626,40.640398550724626,91.64039855072463,-79.35960144927537,14.820582611612142,0,0,1,0,0,120.57383333458017,202.64039855072463
